Name,Country,Fuel Type,Basin,Power Capacity (MW),Latitude,Longtitude,Collection ID,L1,L2,L3,L4,L5,L6,L7,L8
Guodian Nanxun Gas Thermal power station,CN,gas,pacific,200,30.860082,120.346731,be0dd028-ab19-49cd-8830-e963c2125fb0,120.350431,30.863258,120.343031,30.856906,120.343031,30.863258,120.350431,30.856906
Guodian Zhongshan Minzhong Gas Thermal power station,CN,gas,pacific,538,22.67285,113.496632,4e53ff85-ee02-4e56-8d26-73d8d7cc4fb9,113.500074,22.676026,113.49319,22.669674,113.49319,22.676026,113.500074,22.669674
Guohua Yuyao Gas power station,CN,gas,pacific,780,30.066544,121.103506,fd5a89cc-a2e8-43d0-85e8-7112bce79576,121.107176,30.06972,121.099836,30.063368,121.099836,30.06972,121.107176,30.063368
Guoxin Gaoyou Gas Thermal power station,CN,gas,pacific,200,32.820208,119.477512,856217ee-e6c8-4ba5-9165-bf3c64de46eb,119.481291,32.823384,119.473733,32.817032,119.473733,32.823384,119.481291,32.817032
Guoxin Huai'an Gas Thermal power station,CN,gas,pacific,360,33.463756,119.159463,302fd93c-9a05-47cd-bfff-334bb3d9bbe2,119.16327,33.466932,119.155656,33.46058,119.155656,33.466932,119.16327,33.46058
Guoxin Huai'an No.2 Gas Thermal power station,CN,gas,pacific,920,33.376849,119.030217,094da58b-8781-4f38-b8e7-9f5ae115d64a,119.03402,33.380025,119.026414,33.373673,119.026414,33.380025,119.03402,33.373673
Guoxin Yizheng Gas Thermal power station,CN,gas,pacific,200,32.301681,119.186361,52e05327-68cf-4469-bfba-e3395db0aa1b,119.190119,32.304857,119.182604,32.298505,119.182604,32.304857,119.190119,32.298505
Gwangyang power station ,KR,gas,pacific,1126,34.8895,127.7747,0f81bd22-43d0-4c0d-b808-8816a29aad70,127.778572,34.892676,127.770828,34.886324,127.770828,34.892676,127.778572,34.886324
Hanam CHP power station ,KR,gas,pacific,399,37.5522,127.18704,ac961a2e-027a-4b17-8a6a-f71c098df2cd,127.191046,37.555376,127.183034,37.549024,127.183034,37.555376,127.191046,37.549024
Hangzhou Banshan power station,CN,gas,pacific,2415,30.361012,120.141861,8dd7036b-368b-4d18-8188-99b35eccf822,120.145542,30.364188,120.13818,30.357836,120.13818,30.364188,120.145542,30.357836
Hanneng Power Tunkou Gas power station,CN,gas,pacific,123,30.470794,114.203538,bdaba566-7ef6-4ec2-98be-dca0f98b2858,114.207223,30.47397,114.199853,30.467618,114.199853,30.47397,114.207223,30.467618
Hefei Airport Distributed Gas power station,CN,gas,pacific,120,31.961048,117.020871,add15f94-470b-482d-aafd-534f3588dc69,117.024615,31.964224,117.017128,31.957872,117.017128,31.964224,117.024615,31.957872
Higashi Niigata thermal power station,JP,gas,pacific,4110,38.00001,139.2416,181b7618-2d23-464b-aefd-866db6be2fe7,139.245631,38.003186,139.23757,37.996834,139.23757,38.003186,139.245631,37.996834
Higashi Ohgishima thermal power station,JP,gas,pacific,2000,35.49492,139.7456,1a26d982-da60-4bf3-8bd8-5abe399d9699,139.749501,35.498096,139.741699,35.491744,139.741699,35.498096,139.749501,35.491744
Himeji Daiichi power station,JP,gas,pacific,1442,34.77301,134.6666,febba916-cd2a-4d8c-8f8f-f469401f7a41,134.670467,34.776186,134.662734,34.769834,134.662734,34.776186,134.670467,34.769834
Himeji Daini power station,JP,gas,pacific,2919,34.772613,134.693352,c1bbd258-3064-46df-97e3-4692ba403ad6,134.692767,34.775366,134.685034,34.769014,134.685034,34.775366,134.692767,34.769014
Huachen Zhangjiagang Huaxing Gas power station,CN,gas,pacific,1580,31.88699,120.595839,fc49f114-4857-4473-a8a9-10f52db0caea,120.59958,31.890166,120.592099,31.883814,120.592099,31.890166,120.59958,31.883814
Huadian Beijing Zhengchangzhuang Thermal power station,CN,gas,pacific,508,39.889522,116.272586,8868ce90-d0d8-489c-ab3f-cbcc0674ce06,116.276726,39.892698,116.268447,39.886346,116.268447,39.892698,116.276726,39.886346
Huadian Beiran Gas Thermal power station,CN,gas,pacific,228,39.907848,116.694629,365555be-01e2-4c26-ab36-8d65142f8d86,116.69877,39.911024,116.690489,39.904672,116.690489,39.911024,116.69877,39.904672
Huadian Hangzhou Xiasha Thermal power station,CN,gas,pacific,246,30.340843,120.349535,c98c55cc-7647-41c8-9905-add3551bfbd3,120.353215,30.344019,120.345855,30.337667,120.345855,30.344019,120.353215,30.337667
Huadian Jiangdong Thermal power station,CN,gas,pacific,960,30.343409,120.552169,9b959a28-e27e-4657-a47c-9f8a21e53895,120.555849,30.346585,120.548489,30.340233,120.548489,30.346585,120.555849,30.340233
Huadian Jiangmen Distributed Gas power station,CN,gas,pacific,230,22.693712,112.996593,45f66a74-bfb6-482e-b0b8-1552f5e2ac34,113.000036,22.696888,112.993151,22.690536,112.993151,22.696888,113.000036,22.690536
